Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Cond,Foundation,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Type,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Sale Type,SalePrice,Ord_lotshape,Ord_utilities,Ord_landslope,Ord_exter_qual,Ord_exter_cond,Ord_bsmt_qual,Ord_kitchen_qual,Ord_fireplacequ,Ord_garage_qual,Ord_bsmt_cond,Ord_garage_cond,Ord_heatingQC,Ord_bsmt_exposure,Ord_bsmtfintype1,Ord_bsmtfintype2,Ord_electrical,Ord_functional,Ord_garage_finish,Ord_paved_drive,house_age,remod_period,garage_age,AllFlrSF,AllPorchSF,AllSF,TotalBath,Cat_neighborhoods_1,Cat_neighborhoods_2,Cat_mszone,Cat_lotconfig,Cat_housestyle,Cat_roofstyle,Cat_exterior1,Cat_exterior2,Cat_masvnrtype,Cat_foundation,Cat_garagetype
109,533352170,60,RL,69.05520046484602,13517.0,Pave,Lvl,CulDSac,Sawyer,RRAe,Norm,1Fam,2Story,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,TA,CBlock,533.0,0.0,192.0,725.0,GasA,Y,725.0,754.0,0.0,1479.0,0,0,2,1,3,1,6,0,Attchd,2,475.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,3,WD ,130500,3,4,3,4,3,3,4,0,3,3,3,5,1,6,1,5,8,2,3,34.0,5.0,34.0,1479.0,44.0,2204.0,2.5,0,0,0,1,1,0,0,0,1,0,1
544,531379050,60,RL,43.0,11492.0,Pave,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,TA,PConc,637.0,0.0,276.0,913.0,GasA,Y,913.0,1209.0,0.0,2122.0,1,0,2,1,4,1,8,1,Attchd,2,559.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,4,WD ,220000,3,4,3,4,3,4,4,3,3,3,3,5,1,6,1,5,8,2,3,13.0,12.0,12.0,2122.0,74.0,3035.0,3.5,0,1,0,1,1,0,1,1,1,1,1
153,535304180,20,RL,68.0,7922.0,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,CBlock,731.0,0.0,326.0,1057.0,GasA,Y,1057.0,0.0,0.0,1057.0,1,0,1,0,3,1,5,0,Detchd,1,246.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1,WD ,109000,4,4,3,3,4,3,4,0,3,3,3,3,1,6,1,5,8,1,3,57.0,3.0,57.0,1057.0,52.0,2114.0,2.0,0,1,0,0,0,0,1,1,0,0,0
318,916386060,60,RL,73.0,9802.0,Pave,Lvl,Inside,Timber,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,0.0,0.0,384.0,384.0,GasA,Y,744.0,700.0,0.0,1444.0,0,0,2,1,3,1,7,0,BuiltIn,2,400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4,WD ,174000,4,4,3,3,3,4,3,0,3,3,3,4,1,1,1,5,8,3,3,4.0,3.0,3.0,1444.0,0.0,1828.0,2.5,0,0,0,0,1,0,1,1,0,1,1
255,906425045,50,RL,82.0,14235.0,Pave,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,PConc,0.0,0.0,676.0,676.0,GasA,Y,831.0,614.0,0.0,1445.0,0,0,2,0,3,1,6,0,Detchd,2,484.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,3,WD ,138500,3,4,3,3,3,2,3,0,3,4,3,3,1,1,1,5,8,1,1,110.0,17.0,53.0,1445.0,59.0,2121.0,2.0,0,1,0,0,0,0,0,0,0,1,0
138,535126040,20,RL,137.0,16492.0,Pave,Lvl,Corner,NAmes,PosA,Norm,1Fam,1Story,6,6,Gable,CompShg,BrkFace,Plywood,None,0.0,TA,CBlock,247.0,713.0,557.0,1517.0,GasA,Y,1888.0,0.0,0.0,1888.0,0,0,2,1,2,1,6,1,Attchd,2,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,WD ,190000,3,4,3,4,3,3,4,4,3,3,3,5,1,5,3,5,5,3,3,44.0,8.0,44.0,1888.0,0.0,3405.0,2.5,0,1,0,0,0,0,0,0,0,0,1
2827,908186070,180,RM,35.0,3675.0,Pave,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,PConc,547.0,0.0,0.0,547.0,GasA,Y,1072.0,0.0,0.0,1072.0,1,0,2,0,2,1,5,0,Basment,2,525.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,6,New,140000,4,4,3,3,3,4,3,0,3,3,3,4,4,6,1,5,8,3,3,1.0,0.0,1.0,1072.0,44.0,1619.0,3.0,0,0,0,0,0,0,1,1,1,1,0
145,535154050,20,RL,69.05520046484602,12160.0,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,CBlock,1000.0,0.0,188.0,1188.0,GasA,Y,1188.0,0.0,0.0,1188.0,1,0,1,0,3,1,6,0,Attchd,2,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,COD,142000,3,4,3,3,3,3,3,0,3,3,3,2,1,3,1,5,8,2,3,51.0,51.0,51.0,1188.0,0.0,2376.0,2.0,0,1,0,0,0,1,0,0,1,0,1
1942,535353130,20,RL,69.05520046484602,15783.0,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,292.0,0.0,632.0,924.0,GasA,Y,924.0,0.0,0.0,924.0,0,0,1,0,2,1,6,0,Detchd,1,420.0,0.0,324.0,0.0,0.0,0.0,0.0,400.0,6,WD ,112500,4,4,3,3,3,3,3,0,3,3,3,3,1,3,1,5,8,1,3,55.0,55.0,55.0,924.0,324.0,1848.0,1.0,0,0,0,0,0,0,0,0,0,0,0
1956,535426130,60,RL,70.0,11606.0,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,PConc,650.0,0.0,390.0,1040.0,GasA,Y,1040.0,1040.0,0.0,2080.0,0,1,1,2,5,1,9,2,Attchd,2,504.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,9,WD ,135000,3,4,1,3,3,4,2,3,3,3,3,3,3,3,1,5,8,1,3,38.0,38.0,38.0,2080.0,0.0,3120.0,2.5,0,1,0,0,1,0,0,0,1,1,1
